ID,tweet,label
T000503940,"b""i don't know how i'm gonna sleep",non-sarcastic
T000503941,"b""rt here's a little so forget abt the polo shirt lol warning day""",non-sarcastic
T000503942,b'rt not sure this lineup could be any better #lovecov',non-sarcastic
T000503943,b'rt very #blackheathstandard #summerfair @blackheatheye',non-sarcastic
T000503944,b'if i really like em who cares what anyone else thinks fuck your opinion ',non-sarcastic
T000503945,"b'hello i saw that u are a workout lover so i ask you to see my new app it\'s called ""my training"" on apple store'",non-sarcastic
T000503946,"b""it's raining like it will not stop am not cold the spirit of god is in me sunday #rain """,non-sarcastic
T000503947,b'packing for my big trip to peru next week #travel #machupiccu',non-sarcastic
T000503948,b'new wheels arrived thanks to ',non-sarcastic
T000503949,days until moms wedding days until vacation',non-sarcastic
T000503950,b'@amelieofficiel #thanks for sharing about have a great saturday ) grow followers ',non-sarcastic
T000503951,"b""good morning beautiful day and it's better every minute #friday #style""",non-sarcastic
T000503952,b'#sabbath sing to god sing praises to his name him who rides on the clouds by his name yah and',non-sarcastic
T000503953,many many returns of the day birthday,non-sarcastic
T000503954,b'i guess this was one of my happiest moments',non-sarcastic
T000503955,b'left work early to throw myself on the train to bristol for #nashvilleuktour,non-sarcastic
T000503956,"for making it'll be the first time a real horror movie is made in long time #robzombie""",non-sarcastic
